gen alive: 29, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 1.286596863030676, min opp score: 422.7236679380361, id: 35585, score: 36
gen alive: 28, params: min opp score: 139.1762947009676, danger divisor: 2.550749837089523, corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, id: 38673, score: 36
gen alive: 28, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, min opp score: 144.36856232262755, danger divisor: 2.7610173220029974, id: 40712, score: 36
gen alive: 26, params: corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, danger divisor: 2.914264166191812, min opp score: 202.5749573151316, id: 40275, score: 36
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 1.286596863030676, id: 40741, score: 36
gen alive: 25, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, min opp score: 139.1762947009676, danger divisor: 1.286596863030676, id: 39174, score: 36
gen alive: 25, params: corner divisor: 2.862241644415418, corner exponent: 2.6666326185896345, min opp score: 148.5830980749371, danger divisor: 8.497148044118942, id: 40683, score: 36
gen alive: 25, params: danger divisor: 2.7610173220029974, min opp score: 548.7089468974793, corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, id: 40808, score: 36
gen alive: 24, params: corner divisor: 1.0290058383826213, corner exponent: 2.4558780495786436, danger divisor: 2.305755204698305, min opp score: 264.6591128011194, id: 40694, score: 36
gen alive: 23, params: corner divisor: 1.6605167116807906, corner exponent: 2.998997981500411, danger divisor: 1.2795981536117687, min opp score: 201.6735042815908, id: 39256, score: 36
gen alive: 23, params: corner divisor: 1.8908946854051345, corner exponent: 2.2598701791750018, danger divisor: 3.2260691062100193, min opp score: 186.51853826082674, id: 40829, score: 36
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 1.286596863030676, min opp score: 385.6407488942693, id: 40723, score: 36
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.4558780495786436, min opp score: 139.1762947009676, danger divisor: 2.7610173220029974, id: 40728, score: 36
gen alive: 21, params: corner divisor: 1.5867073576676085, corner exponent: 1.7007481374325488, min opp score: 139.1762947009676, danger divisor: 2.7610173220029974, id: 40726, score: 36
gen alive: 21, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 2.914264166191812, min opp score: 195.01361189096625, id: 40763, score: 36
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, min opp score: 330.1444128180385, danger divisor: 1.286596863030676, id: 40721, score: 36
gen alive: 20, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 5.03003875287192, min opp score: 181.24629162465823, id: 40760, score: 36
gen alive: 20, params: min opp score: 147.27842759328072, danger divisor: 2.550749837089523, corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, id: 40797, score: 36
